IDCode,orig_order,item,group,response,response_time_sec,sex
paxi044,1,x1,Rally,1,11.2,M
paxi044,2,x2,Rally,1,11.2,M
paxi044,3,x3,Rally,1,11.2,M
paxi044,4,x4,Rally,0,11.2,M
paxi044,5,x5,Rally,1,11.2,M
paxi044,6,x6,Rally,1,11.2,M
paxi044,7,x7,Rally,0,11.2,M
paxi044,8,x8,Rally,0,11.2,M
paxi044,9,x9,Rally,0,11.2,M
paxi044,10,x10,Rally,0,11.2,M
paxi044,11,x11,Subtraction1,0,16.610333333333333,M
paxi044,12,x12,Subtraction1,0,16.610333333333333,M
paxi044,13,x13,Subtraction1,0,16.610333333333333,M
paxi044,14,x14,Division1,0,1.305,M
paxi044,15,x15,Division1,0,1.305,M
paxi044,16,x16,Division1,0,1.305,M
paxi044,17,x17,BasicGeometry,1,7.0766,M
paxi044,18,x18,BasicGeometry,0,7.0766,M
paxi044,19,x19,BasicGeometry,0,7.0766,M
paxi044,20,x20,BasicGeometry,0,7.0766,M
paxi044,21,x21,BasicGeometry,1,7.0766,M
paxi044,22,x22,RainfallStatistics,0,27.736666666666668,M
paxi044,23,x23,RainfallStatistics,1,27.736666666666668,M
paxi044,24,x24,RainfallStatistics,0,27.736666666666668,M
paxi044,25,x25,MissingNumber_Subtraction,0,2.1053333333333333,M
paxi044,26,x26,MissingNumber_Subtraction,0,2.1053333333333333,M
paxi044,27,x27,MissingNumber_Subtraction,0,2.1053333333333333,M
paxi044,28,x28,Addition2,0,2.75,M
paxi044,29,x29,Addition2,0,2.75,M
paxi044,30,x30,Addition2,0,2.75,M
paxi044,31,x31,Addition2,0,2.75,M
paxi044,32,x32,Subtraction2,0,3.9583333333333335,M
paxi044,33,x33,Subtraction2,0,3.9583333333333335,M
paxi044,34,x34,Subtraction2,0,3.9583333333333335,M
paxi044,35,x35,Subtraction2,0,3.9583333333333335,M
paxi044,36,x36,WordPuzzle,0,123.622,M
paxi044,37,x37,WordPuzzle,0,123.622,M
paxi044,38,x38,Subtraction3,0,0.8013333333333333,M
paxi044,39,x39,Subtraction3,0,0.8013333333333333,M
paxi044,40,x40,Subtraction3,0,0.8013333333333333,M
paxi044,41,x41,Multiplication2,0,0.70175,M
paxi044,42,x42,Multiplication2,0,0.70175,M
paxi044,43,x43,Multiplication2,0,0.70175,M
paxi044,44,x44,Multiplication2,0,0.70175,M
paxi044,45,x45,MapDistance,0,20.497,M
paxi044,46,x46,MapDistance,0,20.497,M
paxi044,47,x47,MapDistance,0,20.497,M
paxi044,48,x48,MissingNumber_Division,0,1.445,M
paxi044,49,x49,MissingNumber_Division,0,1.445,M
paxi044,50,x50,LogicalReasoning,0,21.238,M
paxi044,51,x51,LogicalReasoning,0,21.238,M
paxi044,52,x52,LogicalReasoning,1,21.238,M
paxi044,53,x53,LogicalReasoning,0,21.238,M
paxi044,54,x54,Division3,0,11.847666666666663,M
paxi044,55,x55,Division3,0,11.847666666666663,M
paxi044,56,x56,Division3,0,11.847666666666663,M
paxi044,57,x57,DebugRobotCode,0,32.324,M
pivi588,1,x1,Rally,1,10.9,F
pivi588,2,x2,Rally,1,10.9,F
pivi588,3,x3,Rally,1,10.9,F
pivi588,4,x4,Rally,1,10.9,F
pivi588,5,x5,Rally,1,10.9,F
pivi588,6,x6,Rally,1,10.9,F
pivi588,7,x7,Rally,1,10.9,F
pivi588,8,x8,Rally,1,10.9,F
pivi588,9,x9,Rally,1,10.9,F
pivi588,10,x10,Rally,1,10.9,F
pivi588,11,x11,Subtraction1,1,7.469,F
pivi588,12,x12,Subtraction1,1,7.469,F
pivi588,13,x13,Subtraction1,1,7.469,F
pivi588,14,x14,Division1,1,12.576666666666666,F
pivi588,15,x15,Division1,1,12.576666666666666,F
pivi588,16,x16,Division1,1,12.576666666666666,F
pivi588,17,x17,BasicGeometry,1,12.0846,F
pivi588,18,x18,BasicGeometry,0,12.0846,F
pivi588,19,x19,BasicGeometry,0,12.0846,F
pivi588,20,x20,BasicGeometry,1,12.0846,F
pivi588,21,x21,BasicGeometry,0,12.0846,F
pivi588,22,x22,RainfallStatistics,1,23.953333333333333,F
pivi588,23,x23,RainfallStatistics,1,23.953333333333333,F
pivi588,24,x24,RainfallStatistics,1,23.953333333333333,F
pivi588,25,x25,MissingNumber_Subtraction,1,10.753,F
pivi588,26,x26,MissingNumber_Subtraction,1,10.753,F
pivi588,27,x27,MissingNumber_Subtraction,1,10.753,F
pivi588,28,x28,Addition2,1,7.8545,F
pivi588,29,x29,Addition2,1,7.8545,F
pivi588,30,x30,Addition2,1,7.8545,F
pivi588,31,x31,Addition2,1,7.8545,F
pivi588,32,x32,Subtraction2,1,5.28825,F
pivi588,33,x33,Subtraction2,1,5.28825,F
pivi588,34,x34,Subtraction2,1,5.28825,F
pivi588,35,x35,Subtraction2,1,5.28825,F
pivi588,36,x36,WordPuzzle,1,43.8825,F
pivi588,37,x37,WordPuzzle,1,43.8825,F
pivi588,38,x38,Subtraction3,1,5.985,F
pivi588,39,x39,Subtraction3,1,5.985,F
pivi588,40,x40,Subtraction3,1,5.985,F
pivi588,41,x41,Multiplication2,1,11.90975,F
pivi588,42,x42,Multiplication2,1,11.90975,F
pivi588,43,x43,Multiplication2,1,11.90975,F
pivi588,44,x44,Multiplication2,1,11.90975,F
pivi588,45,x45,MapDistance,0,30.87666666666667,F
pivi588,46,x46,MapDistance,1,30.87666666666667,F
pivi588,47,x47,MapDistance,1,30.87666666666667,F
pivi588,48,x48,MissingNumber_Division,1,22.296,F
pivi588,49,x49,MissingNumber_Division,1,22.296,F
pivi588,50,x50,LogicalReasoning,1,31.17225,F
pivi588,51,x51,LogicalReasoning,1,31.17225,F
pivi588,52,x52,LogicalReasoning,1,31.17225,F
pivi588,53,x53,LogicalReasoning,1,31.17225,F
pivi588,54,x54,Division3,1,12.761333333333337,F
pivi588,55,x55,Division3,1,12.761333333333337,F
pivi588,56,x56,Division3,1,12.761333333333337,F
pivi588,57,x57,DebugRobotCode,0,163.0,F
weda047,1,x1,Rally,1,4.9,M
weda047,2,x2,Rally,1,4.9,M
weda047,3,x3,Rally,1,4.9,M
weda047,4,x4,Rally,1,4.9,M
weda047,5,x5,Rally,1,4.9,M
weda047,6,x6,Rally,1,4.9,M
weda047,7,x7,Rally,1,4.9,M
weda047,8,x8,Rally,0,4.9,M
weda047,9,x9,Rally,1,4.9,M
weda047,10,x10,Rally,0,4.9,M
weda047,11,x11,Subtraction1,1,5.477,M
weda047,12,x12,Subtraction1,1,5.477,M
weda047,13,x13,Subtraction1,1,5.477,M
weda047,14,x14,Division1,1,9.739666666666666,M
weda047,15,x15,Division1,1,9.739666666666666,M
weda047,16,x16,Division1,1,9.739666666666666,M
weda047,17,x17,BasicGeometry,1,10.456,M
weda047,18,x18,BasicGeometry,0,10.456,M
weda047,19,x19,BasicGeometry,0,10.456,M
weda047,20,x20,BasicGeometry,1,10.456,M
weda047,21,x21,BasicGeometry,1,10.456,M
weda047,22,x22,RainfallStatistics,1,20.904,M
weda047,23,x23,RainfallStatistics,1,20.904,M
weda047,24,x24,RainfallStatistics,1,20.904,M
weda047,25,x25,MissingNumber_Subtraction,1,5.342,M
weda047,26,x26,MissingNumber_Subtraction,1,5.342,M
weda047,27,x27,MissingNumber_Subtraction,1,5.342,M
weda047,28,x28,Addition2,1,4.1245,M
weda047,29,x29,Addition2,1,4.1245,M
weda047,30,x30,Addition2,1,4.1245,M
weda047,31,x31,Addition2,1,4.1245,M
weda047,32,x32,Subtraction2,1,4.50425,M
weda047,33,x33,Subtraction2,1,4.50425,M
weda047,34,x34,Subtraction2,1,4.50425,M
