IDCode,orig_order,item,group,response,response_time_sec,sex
21432,1,71516,choose_1,1,25.167,U
21825,1,48881,algebra,0,21.942,U
21825,2,48882,choose_1,1,7.38,U
21825,3,48883,algebra,0,5.509,U
21825,4,48884,algebra,1,12.003,U
21825,5,49016,algebra,1,88.939,U
21825,6,49008,algebra,1,46.96,U
21825,7,49052,algebra,1,82.821,U
21825,8,57731,algebra,1,29.504,U
21825,9,93889,algebra,1,34.033,U
21825,10,93833,algebra,1,10.031,U
21825,11,93914,algebra,1,21.281,U
21825,12,93821,algebra,1,10.672,U
21825,13,93939,algebra,1,20.203,U
21825,14,93824,algebra,0,13.813,U
21825,15,93892,algebra,0,19.766,U
21825,16,56841,algebra,0,86.655,U
21825,17,56842,choose_1,1,5.734,U
21825,18,56843,algebra,0,4.703,U
21825,19,56871,algebra,1,55.062,U
21825,20,56730,algebra,0,306.2,U
21825,21,93393,algebra,0,50,U
21825,22,58557,algebra,1,31.953,U
21825,23,58569,algebra,1,21.375,U
21825,24,109325,algebra,0,8.453,U
21825,25,109326,algebra,0,2.937,U
21825,26,109327,algebra,0,6.062,U
21825,27,109328,choose_1,1,3.171,U
21825,28,90543,algebra,1,5.906,U
21825,29,90594,algebra,1,4.015,U
21825,30,90425,algebra,1,4.391,U
21825,31,90531,algebra,1,3.438,U
21825,32,90597,algebra,1,6.844,U
21825,33,90177,algebra,1,3.829,U
21825,34,90148,algebra,1,4.281,U
21825,35,90118,algebra,1,3.906,U
21825,36,90221,algebra,1,3.797,U
21825,37,90173,algebra,1,2.922,U
21825,38,117680,algebra,1,14.093,U
21825,39,117676,algebra,0,9.891,U
21825,40,117677,algebra,1,4.609,U
21825,41,117684,algebra,1,7.453,U
21825,42,117688,algebra,1,9.797,U
21825,43,117696,choose_1,1,13.671,U
21825,44,117700,algebra,1,17.141,U
21825,45,117692,algebra,1,12.594,U
21825,46,117704,algebra,1,12.781,U
26787,1,84889,algebra,1,12.044,U
26787,2,84890,algebra,1,3.728,U
26787,3,84891,algebra,1,4.241,U
26787,4,84892,algebra,1,4.161,U
26787,5,84893,algebra,1,7.674,U
26787,6,89821,algebra,1,3.729,U
26787,7,89822,algebra,1,3.745,U
26787,8,89823,algebra,1,5.921,U
26787,9,89824,algebra,1,5.953,U
26787,10,89825,algebra,1,4.561,U
26787,11,90311,algebra,1,11.233,U
26787,12,90314,algebra,1,3.602,U
26787,13,90317,algebra,1,3.841,U
26787,14,90320,algebra,1,3.609,U
26787,15,90323,algebra,1,4.913,U
26787,16,89971,algebra,1,3.929,U
26787,17,89974,algebra,1,4.129,U
26787,18,89977,algebra,1,3.649,U
26787,19,89980,algebra,1,3.225,U
26787,20,89983,algebra,1,3.385,U
26787,21,54463,algebra,1,3.496,U
26787,22,54466,algebra,1,3.929,U
26787,23,54469,algebra,1,3.297,U
26787,24,54472,algebra,1,9.704,U
26787,25,54475,algebra,1,3.625,U
26787,26,84894,algebra,1,5.121,U
26787,27,89826,algebra,1,4.353,U
26787,28,84895,algebra,1,3.841,U
26787,29,89827,algebra,1,3.513,U
26787,30,84896,algebra,1,2.97,U
26787,31,89828,algebra,1,3.529,U
26787,32,84897,algebra,1,3.233,U
26787,33,89829,algebra,1,3.441,U
26787,34,84898,algebra,1,4.241,U
26787,35,89830,algebra,1,3.745,U
26787,36,39457,fill_in_1,1,4.481,U
26787,37,39484,fill_in_1,1,3.946,U
26787,38,39463,algebra,1,4.441,U
26787,39,39466,algebra,1,3.273,U
26787,40,39490,fill_in_1,1,3.161,U
26787,41,39508,algebra,1,14.662,U
26787,42,39511,algebra,1,8.01,U
26787,43,39517,algebra,1,10.666,U
26787,44,39520,algebra,0,5.833,U
26787,45,39521,choose_1,1,26.648,U
26787,46,39522,algebra,1,10.153,U
26787,47,12301,algebra,1,4.192,U
26787,48,86311,algebra,1,23.795,U
26787,49,86312,algebra,1,11.048,U
26787,50,86313,algebra,1,12.545,U
26787,51,86314,algebra,1,11.385,U
26787,52,86315,algebra,1,10.152,U
26787,53,86572,algebra,1,13.049,U
26787,54,86573,algebra,1,11.553,U
26787,55,86574,algebra,1,11.146,U
26787,56,86575,algebra,1,11.145,U
26787,57,86576,algebra,1,12.769,U
26787,58,54103,algebra,1,6.377,U
26787,59,54104,algebra,1,4.84,U
26787,60,54105,algebra,1,6.291,U
26787,61,54106,algebra,1,4.017,U
26787,62,54107,algebra,1,5.897,U
26787,63,87024,algebra,1,16.67,U
26787,64,87025,algebra,1,6.857,U
26787,65,87026,algebra,1,5.416,U
26787,66,87027,algebra,1,6.321,U
26787,67,87028,algebra,1,6.401,U
26787,68,39460,algebra,1,8.21,U
26787,69,39487,algebra,1,5.482,U
26787,70,65599,choose_1,1,6.792,U
26787,71,65608,choose_1,1,8.608,U
26787,72,65613,choose_1,1,5.489,U
26787,73,97772,algebra,1,9.521,U
26787,74,97776,algebra,1,8.376,U
26787,75,97780,algebra,1,9.705,U
26787,76,97784,algebra,1,6.288,U
26787,77,97788,algebra,1,9.649,U
26787,78,53995,algebra,1,14.331,U
26787,79,53999,algebra,1,15.497,U
26787,80,54003,algebra,1,7.985,U
26787,81,54007,algebra,1,12.402,U
26787,82,54011,algebra,1,7.562,U
26787,83,24289,algebra,1,23.11,U
26787,84,24290,algebra,0,8.809,U
26787,85,24291,fill_in_1,1,6.041,U
26787,86,24273,algebra,1,25.941,U
26787,87,84461,choose_1,1,8.985,U
26787,88,88601,algebra,1,14.913,U
26787,89,88602,algebra,0,11.119,U
26787,90,88603,algebra,1,10.413,U
26787,91,88604,algebra,1,15.443,U
26787,92,66548,choose_1,1,5.009,U
26787,93,66549,choose_1,1,3.737,U
26787,94,66550,choose_1,1,3.393,U
26787,95,66551,choose_1,1,2.945,U
26787,96,66552,choose_1,1,2.641,U
26787,97,52817,algebra,1,6.294,U
26787,98,85697,choose_1,0,11.024,U
26787,99,85698,algebra,1,11.8,U
26787,100,85699,algebra,1,9.047,U
26787,101,85700,algebra,1,7.528,U
26787,102,86045,algebra,1,11.032,U
26787,103,86046,algebra,0,34.755,U
26787,104,85810,algebra,1,4.945,U
26787,105,85811,algebra,1,4.857,U
26787,106,84909,algebra,1,4.225,U
26787,107,91257,algebra,1,12.377,U
26787,108,91256,algebra,1,9.768,U
26787,109,75596,algebra,1,24.337,U
26787,110,89515,algebra,1,27.466,U
26787,111,75619,algebra,0,50.008,U
26787,112,151442,algebra,1,5.75,U
26787,113,151942,algebra,1,12.04,U
26787,114,34308,choose_1,1,31.793,U
26787,115,76219,algebra,1,36.855,U
26787,116,76227,algebra,0,34.671,U
26787,117,76228,choose_1,1,40.666,U
26787,118,76229,choose_1,1,13.729,U
26787,119,76230,choose_1,1,7.808,U
26787,120,76231,algebra,1,11.472,U
26787,121,76232,choose_1,1,5.952,U
26787,122,76233,algebra,1,3.929,U
26787,123,76234,algebra,1,6.855,U
26787,124,75672,algebra,1,31.764,U
26787,125,75673,algebra,1,7.321,U
26787,126,75445,algebra,1,8.112,U
26787,127,75724,algebra,1,32.825,U
26787,128,89849,algebra,1,8.697,U
26787,129,75313,algebra,1,20.689,U
26787,130,90248,algebra,0,26.859,U
26787,131,90286,algebra,0,54.453,U
26787,132,72608,algebra,1,23.828,U
26787,133,94997,algebra,1,24.614,U
26787,134,71770,algebra,1,6.08,U
26787,135,89034,algebra,1,11.112,U
26787,136,75300,choose_1,1,12.504,U
26787,137,75232,fill_in_1,0,5.209,U
26787,138,75274,algebra,1,5.136,U
26787,139,89125,algebra,1,30.589,U
26787,140,74873,algebra,1,31.276,U
26787,141,61103,algebra,0,37.219,U
26787,142,71342,fill_in_1,1,20.171,U
26787,143,71344,fill_in_1,1,18.625,U
26787,144,94881,fill_in_1,1,19.579,U
26787,145,94882,fill_in_1,1,18.576,U
26787,146,108900,algebra,1,89.747,U
26787,147,108903,algebra,0,57.248,U
26787,148,108904,choose_1,1,54.903,U
26787,149,39798,algebra,1,18.131,U
26787,150,37151,fill_in_1,1,19.061,U
26787,151,41527,fill_in_1,1,58.827,U
26787,152,24198,fill_in_1,1,35.022,U
26787,153,85260,algebra,1,35.456,U
26787,154,84571,fill_in_1,1,34.577,U
26787,155,24308,fill_in_1,0,38.044,U
26787,156,47051,algebra,1,38.124,U
33121,1,98338,fill_in_1,1,9.495,U
33121,2,98340,choose_1,1,3.827,U
33121,3,98345,fill_in_1,0,16.254,U
33121,4,98352,open_response,0,12.857,U
33121,5,98353,open_response,0,60.853,U
33121,6,98354,open_response,0,131.534,U
33121,7,98347,choose_1,1,6.38,U
33121,8,98349,algebra,0,5.87,U
33121,9,98351,open_response,0,8.333,U
33121,10,107358,open_response,0,7.833,U
33121,11,102500,choose_1,1,5.405,U
33121,12,102508,open_response,0,2.31,U
33121,13,107354,open_response,0,2.501,U
33121,14,102509,open_response,0,2.364,U
33121,15,107355,open_response,0,2.7,U
33121,16,102510,algebra,1,33.219,U
33121,17,107356,open_response,0,4.382,U
33121,18,102511,open_response,0,3.249,U
33121,19,107357,choose_1,1,3.222,U
33121,20,98343,open_response,0,2.689,U
33121,21,109972,algebra,1,6.388,U
33121,22,109973,algebra,1,3.347,U
33121,23,109974,algebra,1,4.602,U
33121,24,109975,algebra,1,6.335,U
33121,25,109976,algebra,1,3.386,U
33121,26,109977,algebra,1,3.525,U
33121,27,109978,algebra,1,8.271,U
33121,28,109979,algebra,1,7.367,U
33121,29,109980,algebra,1,3.618,U
33121,30,109981,algebra,1,9.334,U
33121,31,109982,algebra,1,5.412,U
33121,32,109983,algebra,1,21.776,U
33121,33,109984,algebra,1,4.611,U
33121,34,109985,algebra,1,6.253,U
33121,35,109986,algebra,1,5.774,U
33121,36,109987,algebra,1,10.237,U
33121,37,109988,algebra,1,4.499,U
33121,38,109989,algebra,1,6.017,U
33121,39,109990,algebra,1,12.585,U
33121,40,109991,algebra,1,26.005,U
33121,41,110458,algebra,0,1.467,U
33121,42,110459,algebra,0,1.69,U
33121,43,110460,algebra,1,6.996,U
33121,44,110461,algebra,1,5.806,U
33121,45,110462,algebra,1,8.025,U
33121,46,110666,choose_1,1,2.435,U
33121,47,110668,algebra,1,9.013,U
33121,48,110669,algebra,1,6.428,U
33121,49,110670,algebra,1,4.727,U
33121,50,110671,algebra,1,4.842,U
33121,51,110672,fill_in_1,1,8.856,U
33121,52,110673,fill_in_1,1,6.854,U
33121,53,110674,algebra,1,4.157,U
33121,54,110675,fill_in_1,1,8.608,U
33121,55,110676,choose_1,0,5.347,U
33121,56,110678,choose_1,1,3.263,U
33121,57,110680,algebra,0,16.17,U
33121,58,110681,algebra,1,4.072,U
33121,59,110682,algebra,1,5.996,U
33121,60,109369,choose_1,1,4.322,U
33121,61,109370,choose_1,1,4.525,U
33121,62,109371,choose_1,1,3.086,U
33121,63,109372,choose_1,1,5.085,U
33121,64,109373,choose_1,1,7.912,U
33121,65,110638,fill_in_1,1,4.686,U
33121,66,110636,fill_in_1,1,7.364,U
33121,67,110637,fill_in_1,0,2.954,U
33121,68,12358,fill_in_1,0,24.454,U
33121,69,12359,choose_1,1,16.508,U
33121,70,12360,fill_in_1,0,8.031,U
33121,71,12330,choose_1,0,16.83,U
33121,72,30461,choose_1,1,6.395,U
33121,73,30462,choose_1,0,8.003,U
33121,74,30463,choose_1,1,9.163,U
34037,1,24140,fill_in_1,1,25.93,U
34037,2,24291,fill_in_1,1,8.446,U
34037,3,24050,choose_1,1,12.193,U
34037,4,24290,algebra,0,10.514,U
34037,5,24289,algebra,1,13.515,U
34037,6,24270,algebra,1,10.148,U
34037,7,24269,choose_1,1,12.93,U
34037,8,24073,choose_1,1,7.333,U
34037,9,24171,algebra,1,14.266,U
34037,10,24293,choose_1,1,8.281,U
34037,11,40472,choose_1,1,17.341,U
34037,12,40473,fill_in_1,0,14.517,U
34037,13,40474,choose_1,1,14.986,U
34037,14,40475,choose_1,0,5.24,U
34037,15,40476,choose_1,0,4.225,U
34037,16,40477,choose_1,1,31.964,U
34037,17,40478,choose_1,0,3.922,U
34037,18,40479,algebra,0,18.547,U
51950,1,97639,algebra,0,8.495,U
51950,2,97671,algebra,1,20.116,U
51950,3,97555,algebra,1,31.663,U
51950,4,97650,algebra,1,16.733,U
51950,5,108102,algebra,1,239.181,U
51950,6,108062,algebra,1,51.87,U
51950,7,482,choose_1,0,18.116,U
51950,8,44976,choose_1,0,37.152,U
51950,9,44977,choose_1,1,6.808,U
51950,10,44978,choose_1,1,11.34,U
51950,11,173411,algebra,0,9.577,U
