"IDCode","gmm_bic_best_label","TOTAL","risk_score_z","risk_level"
"paxi044","3","9","2.7524571209645567","high"
"syvi476","3","22","1.7100766986691471","high"
"nuhi137","5","30","0.9264332405753108","high"
"mory430","6","29","1.1608370630628038","high"
"nysa238","5","30","0.9207672206110799","high"
"dugu064","5","28","1.0351942310242275","high"
"pyzo535","3","19","2.150026455506035","high"
"qisu640","5","30","0.8833078777989544","high"
"gery678","3","20","2.0419330555420716","high"
"wozo826","5","27","1.2226266465553002","high"
"soru820","5","26","1.2664547393261196","high"
"fari709","3","16","2.3056472127829837","high"
"najy705","5","33","0.8163058638677345","high"
"kojo378","5","26","1.3396932800821721","high"
"dyva324","5","26","1.2516691155558546","high"
"pusu302","3","14","2.4434188105875876","high"
"ninu744","3","22","1.7283578470376844","high"
"zufa556","3","12","2.437841167290561","high"
"losy787","5","24","1.5589540193142413","high"
"jygo886","5","27","1.1953188184071488","high"
"dyzo734","3","5","3.0049341521791697","high"
"nopo152","5","31","0.8549586482443111","high"
"puxi257","5","30","0.97956642914389","high"
"huze427","5","26","1.3166850607311924","high"
"sipy389","5","24","1.5814252153641541","high"
"lury747","5","30","0.9279785315819639","high"
"hoki309","5","31","0.8670095867621466","high"
"kyzy131","5","30","0.9633573988487978","high"
"sefy975","5","31","0.8672118810839734","high"
"mowy859","5","31","0.915667051499545","high"
"rihi168","5","24","1.5425833210456366","high"
"qefe646","5","26","1.365320688983241","high"
"naso669","5","29","1.1227295032023052","high"
"cave700","5","30","0.9365226678970956","high"
"karo919","5","25","1.3347035787278476","high"
"gelo627","5","31","0.9297157229232986","high"
"xiza150","5","28","1.04390072778833","high"
"hyfe498","5","31","0.9183564974699417","high"
"gata076","3","20","1.9361956026349234","high"
"muvo194","5","31","0.987099889817492","high"
"rapo615","5","27","1.2943451308292744","high"
"zeji633","3","17","2.178173498715708","high"
"pipo687","3","20","1.975067349477669","high"
"dedu084","5","32","0.9043438240011147","high"
"lowa532","3","13","2.6053149836666107","high"
"zuha759","3","17","2.2252961743069775","high"
"qafu966","3","15","2.451313479511975","high"
"homa046","3","20","1.8693587038853048","high"
"keno764","5","31","0.9248087829322804","high"
"copo281","3","19","2.1041272995601767","high"
"nily317","3","21","1.8332162172789568","high"
"roho333","5","31","0.8871545105278767","high"
"xime971","5","28","1.2201701189771268","high"
"muqo157","5","32","0.812172370848529","high"
"bacy598","3","14","2.2266406282419804","high"
"kexi927","5","26","1.2249660937841893","high"
"joxi410","5","32","0.8212456899061523","high"
"gylu244","5","30","0.9204047131039282","high"
"cozi663","5","24","1.4382032633999917","high"
"quhe482","5","29","1.0063841381140899","high"
"cyfe247","5","26","1.2450708429874406","high"
"baco446","5","32","0.8010120502463375","high"
"tuvu087","5","29","1.0300424061356233","high"
"seto741","3","16","2.1294354502730757","high"
"pubu440","3","21","1.792058489368742","high"
"moly152","5","26","1.3950222099913085","high"
"jupo405","5","29","1.1538916602808715","high"
"mado232","5","32","0.9240233197791746","high"
"tapi010","3","22","1.917461389550042","high"
"vyda893","3","12","2.6035302288938857","high"
"johy783","5","28","1.0988458394781957","high"
"baky109","5","26","1.3112178319390606","high"
"xyfe491","5","24","1.4279811316873632","high"
"viba035","5","32","0.8020899028511652","high"
"bihi184","3","10","2.7781160728896888","high"
"zade686","6","16","1.955553630954443","high"
"zejy480","5","31","0.86596206999128","high"
"sedo490","3","16","2.1457862268081596","high"
"buby236","3","16","2.188879846964288","high"
"tyly265","3","20","1.9627863589006906","high"
"nise834","3","15","2.2621354680311576","high"
"voxy002","3","14","2.386405992665546","high"
"xopa120","3","14","2.532691436872048","high"
"lore323","3","20","1.8582430561617138","high"
"zuxy510","3","6","2.8980976106890117","high"
"lilu285","3","14","2.3514679074032636","high"
"heqi003","3","12","2.583176886161088","high"
"kofa904","5","27","1.2061933157975873","high"
"peqo117","3","10","2.814600034323865","high"
"mude815","3","18","2.053472531798549","high"
"bebo956","5","26","1.3723344418232877","high"
"doxi119","5","24","1.4424562448264426","high"
"xypo299","5","24","1.4407832589394782","high"
"nape687","3","17","2.0259443202237537","high"
"puce552","5","31","0.9116177487603211","high"
"cyhu257","5","31","0.8505764722684307","high"
"lota555","3","16","2.183544018218068","high"
"joce161","3","17","2.058938180883214","high"
"fafe171","5","26","1.3940436521465325","high"
"vexo008","5","31","0.8772852380826143","high"
"punu787","5","24","1.3991862228497105","high"
"tomo782","3","9","2.692362580799836","high"
"cupe992","3","18","1.977419670017384","high"
"qutu379","5","29","1.0791252662473645","high"
"cape571","3","22","1.7459369218655179","high"
"xafu780","3","16","2.1090159072786525","high"
"wowy820","3","19","2.0701156877308295","high"
"xavy753","3","15","2.2845439638011316","high"
"deje129","3","17","2.0997922847504125","high"
