,S1,S1,S1,S1,S2,S2,S2,S2,S3,S3,S3,S3,S5,S5,S5,S5,S6,S6,S6,S6,TOTAL,TOTAL,TOTAL,TOTAL
,count,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median
gmm_bic_best_label,,,,,,,,,,,,,,,,,,,,,,,,
0,137,9.10948905109489,1.8378329314903508,9.0,137,25.145985401459853,2.524993144968568,25.0,137,3.948905109489051,1.0096677371586138,4.0,137,4.839416058394161,1.3678749977414288,5.0,137,3.423357664233577,1.235043627100502,3.0,137,38.737226277372265,2.246795341974028,38.0
1,76,13.447368421052632,1.526606142981703,14.0,76,32.05263157894737,1.4319658919783926,32.0,76,4.894736842105263,0.3089313782884932,5.0,76,6.644736842105263,1.19670600531538,7.0,76,5.078947368421052,1.1166993972684185,5.0,76,50.86842105263158,1.864346929539728,50.0
2,53,9.943396226415095,1.8750907089814515,10.0,53,27.39622641509434,3.4770656430691527,27.0,53,4.226415094339623,0.8467473838610141,4.0,53,4.9245283018867925,1.6272801352584243,5.0,53,3.2452830188679247,1.3431544440858743,3.0,53,41.094339622641506,4.1799160414065195,42.0
3,46,4.8478260869565215,2.2006806149648623,5.0,46,10.26086956521739,3.69645345107199,10.0,46,1.0434782608695652,1.191759143062248,1.0,46,3.217391304347826,1.4284886104358436,3.5,46,1.3043478260869565,1.3803311231953859,1.0,46,16.02173913043478,4.2189473696898085,16.0
4,144,11.26388888888889,1.4817590713776465,11.0,144,29.381944444444443,2.131995774598529,29.0,144,4.5625,0.6867247695335515,5.0,144,5.618055555555555,1.5328410834466133,6.0,144,4.152777777777778,1.2754784893699211,4.0,144,45.5625,1.752994441089164,46.0
5,81,7.382716049382716,2.326842824701359,7.0,81,19.506172839506174,3.358286232552712,19.0,81,2.728395061728395,1.1292956397575034,3.0,81,4.098765432098766,1.1358360166811594,4.0,81,2.45679012345679,1.3138624615618009,3.0,81,29.641975308641975,3.1753292820403227,30.0
6,4,8.75,3.8622100754188224,8.5,4,19.25,9.63932916061417,21.0,4,3.0,0.816496580927726,3.0,4,4.5,2.516611478423583,4.0,4,3.5,1.2909944487358054,3.5,4,31.25,12.76388133236386,31.0
