IDCode,kmeans_label,agglomerative_label,birch_label,gmm_label,gmm_bic_best_label,gmm_aic_best_label,dbscan_label,dbscan_combined_label,dbscan_selected_label
paxi044,1,0,0,1,3,1,-1,-1,-1
pivi588,0,1,1,0,1,2,-1,0,0
weda047,0,1,1,0,4,4,-1,0,0
zoka501,1,0,0,0,0,5,-1,0,0
hyku415,0,0,1,1,2,0,-1,-1,0
syvi476,1,0,0,1,3,1,-1,0,0
hopi338,1,0,2,1,6,3,-1,-1,-1
kuqy630,0,0,1,0,2,8,-1,0,0
node314,1,0,0,0,0,0,-1,0,0
mybu425,0,0,1,0,0,5,-1,0,0
pyqy867,0,1,1,0,4,6,-1,0,0
tywo507,0,1,1,0,4,4,0,0,0
nuhi137,1,0,0,1,5,7,-1,0,0
mory430,1,0,2,1,6,3,-1,-1,-1
vuho146,1,0,0,0,0,5,-1,0,0
nysa238,1,0,0,1,5,7,-1,0,0
kisa730,0,0,1,1,2,0,-1,-1,0
doza768,1,0,0,1,5,0,-1,-1,0
sapu497,1,0,0,0,0,5,-1,0,0
dila385,0,1,1,0,0,6,-1,0,0
pymu787,1,0,1,1,2,0,-1,-1,0
bejy525,0,0,1,0,0,6,-1,0,0
bajo794,0,1,1,0,4,6,-1,0,0
dugu064,1,0,0,1,5,7,-1,-1,0
hiwu738,0,1,1,0,4,4,0,0,0
zucy684,0,0,1,0,2,8,-1,-1,0
huxe147,1,0,0,0,0,5,-1,0,0
woza563,1,0,0,0,0,5,-1,0,0
neku787,0,1,1,0,4,6,-1,0,0
navo572,1,0,0,0,0,5,-1,0,0
gola051,1,0,0,0,0,5,-1,0,0
pyzo535,1,0,0,1,3,1,-1,-1,0
xoky149,1,0,1,1,0,5,-1,0,0
loxu319,0,1,1,0,1,2,-1,0,0
qisu640,1,0,1,1,5,7,-1,-1,0
gery678,1,0,0,1,3,1,-1,-1,0
huho039,0,0,1,1,2,0,-1,-1,0
wozo826,1,0,0,1,5,7,-1,-1,0
soru820,1,0,0,1,5,7,-1,-1,0
fari709,1,0,0,1,3,1,-1,-1,0
qapo730,1,0,0,1,5,7,-1,0,0
najy705,1,0,0,1,5,7,-1,-1,0
sejy814,0,1,1,0,4,4,0,0,0
laze716,0,1,1,0,0,6,-1,0,0
kojo378,1,0,0,1,5,7,-1,0,0
tepu554,0,1,1,0,4,8,-1,0,0
dyva324,1,0,0,1,5,7,-1,0,0
pusu302,1,0,0,1,3,1,-1,-1,0
xamy888,1,0,0,0,0,5,-1,0,0
ninu744,1,0,0,1,3,1,-1,0,0
punu537,1,0,0,0,0,5,-1,0,0
zufa556,1,0,0,1,3,1,-1,-1,0
losy787,1,0,0,1,5,7,-1,-1,0
fuxa711,1,0,0,1,5,7,-1,0,0
myzo000,0,0,1,0,0,6,-1,0,0
jygo886,1,0,0,1,5,7,-1,0,0
dyzo734,1,0,0,1,3,1,-1,-1,1
ciky680,0,1,1,0,4,8,-1,0,0
nopo152,1,0,0,1,5,7,-1,0,0
tivy194,1,0,0,0,0,5,-1,0,0
biry098,1,0,0,1,5,7,-1,0,0
tebo981,0,1,1,0,4,4,-1,0,0
jyma323,0,1,1,0,4,6,-1,0,0
cani065,0,1,1,0,4,6,-1,0,0
puxi257,1,0,0,1,5,7,-1,-1,0
jemy201,1,0,0,0,0,5,-1,0,0
woqa919,0,1,1,0,4,6,-1,0,0
huze427,1,0,0,1,5,7,-1,0,0
jaxe723,0,1,1,0,4,4,-1,0,0
xamy676,1,0,0,0,0,5,-1,0,0
lowy720,0,0,1,1,2,0,-1,-1,-1
mixa281,1,0,0,1,5,7,-1,0,0
sipy389,1,0,0,1,5,7,-1,-1,0
bube109,0,1,1,0,4,6,-1,0,0
boqe999,0,1,1,0,4,4,-1,0,0
guzo911,0,0,1,1,0,6,-1,0,0
guxe800,0,0,1,0,0,6,-1,0,0
dove442,1,0,1,0,0,5,-1,0,0
zivi062,1,0,0,0,0,5,-1,0,0
lury747,1,0,0,1,5,7,-1,0,0
tuve726,1,0,1,0,0,5,-1,0,0
vihu826,0,0,1,1,2,0,-1,-1,0
hata313,1,0,0,1,0,5,-1,0,0
hoki309,1,0,0,1,5,7,-1,0,0
kyzy131,1,0,0,1,5,7,-1,0,0
syti148,0,1,1,0,4,6,-1,0,0
syco853,0,1,1,0,1,2,-1,-1,0
sefy975,1,0,0,1,5,7,-1,0,0
jese656,0,1,1,0,4,4,-1,0,0
guge611,1,0,0,1,5,7,-1,0,0
mesi806,1,0,0,1,2,0,-1,-1,0
sesi698,0,1,1,0,4,4,-1,0,0
gopa505,0,0,0,0,2,0,-1,-1,0
duwi894,0,1,1,0,4,6,-1,0,0
hasa034,1,0,0,0,0,5,-1,0,0
magu282,0,0,2,1,6,3,-1,-1,-1
pile112,0,1,1,0,1,4,-1,0,0
sivi804,1,0,0,0,0,5,-1,0,0
maho931,1,0,1,1,2,0,-1,-1,0
waho571,1,0,0,0,0,5,-1,0,0
mowy859,1,0,0,1,5,7,-1,1,0
rihi168,1,0,0,1,5,7,-1,-1,0
siry766,0,0,1,1,2,0,-1,-1,0
qefe646,1,0,0,1,5,7,-1,-1,0
zojo883,0,1,1,0,1,4,-1,0,0
dero258,0,1,1,0,4,4,-1,0,0
mika525,1,0,0,1,0,5,-1,0,0
xohi599,0,1,1,0,4,6,-1,0,0
tebe135,1,0,1,0,2,0,-1,0,0
naso669,1,0,0,1,5,7,-1,0,0
qecu035,0,1,1,1,2,0,-1,-1,0
zywy107,1,0,1,0,0,5,-1,0,0
cave700,1,0,0,1,5,7,-1,0,0
nupy082,0,1,1,0,4,4,-1,0,0
hoge626,0,1,1,0,1,2,-1,0,0
nivo041,0,0,1,0,2,8,-1,0,0
karo919,1,0,0,1,5,7,-1,0,0
vuhe805,1,0,1,0,0,5,-1,0,0
kebi083,0,1,1,0,4,6,-1,0,0
faly535,1,0,0,0,5,5,-1,0,0
gelo627,1,0,0,1,5,7,-1,-1,0
vili771,0,1,1,0,4,4,-1,0,0
katu927,0,1,1,0,4,6,-1,0,0
xiza150,1,0,0,1,5,7,-1,0,0
bevi590,0,1,1,0,4,8,-1,0,0
huve181,1,0,0,1,5,7,-1,0,0
fite050,0,1,1,0,4,4,-1,0,0
nysu060,0,1,1,0,4,6,-1,0,0
kaho190,1,0,1,0,0,5,-1,0,0
lany944,0,1,1,0,1,2,-1,-1,0
maqu534,0,0,1,0,0,6,-1,0,0
wuga870,1,0,1,0,0,6,-1,0,0
wyva352,0,0,1,0,2,0,-1,0,0
hime464,0,1,0,0,0,6,-1,0,0
jexu775,0,1,1,0,0,6,-1,0,0
tuga736,1,0,0,0,0,5,-1,0,0
hyfe498,1,0,0,1,5,7,-1,0,0
bomo360,0,1,1,0,4,4,-1,0,0
lomo204,0,1,1,0,1,2,-1,-1,0
mipe544,0,1,1,0,4,6,-1,0,0
hufy497,0,1,1,0,4,4,-1,0,0
rapo919,0,1,1,0,2,0,-1,-1,0
gata076,1,0,0,1,3,1,-1,-1,0
muvo194,1,0,0,1,5,7,-1,1,0
cywo537,0,1,1,0,0,6,-1,0,0
xamy327,1,0,1,1,2,0,-1,-1,0
cogu074,0,1,1,0,4,8,-1,0,0
rapo615,1,0,0,1,5,7,-1,-1,0
zady580,1,0,0,1,5,0,-1,1,0
nujo284,0,0,1,0,0,6,-1,0,0
syzu625,0,0,1,1,2,0,-1,-1,0
myte214,0,0,1,1,2,0,-1,-1,0
tyzo440,1,0,0,1,5,7,-1,0,0
vyzo298,0,1,1,0,4,6,-1,0,0
hiwu589,1,0,1,1,2,0,-1,-1,0
sazy810,0,1,1,0,4,4,-1,0,0
turi097,1,0,0,1,0,5,-1,0,0
foji729,0,1,1,0,0,6,1,0,0
dexe201,0,1,1,0,4,4,-1,0,0
dosu709,0,0,1,1,0,6,-1,0,0
doxe392,1,0,1,1,2,0,-1,-1,0
culu497,0,0,1,0,0,6,-1,0,0
lije367,0,1,1,0,1,2,-1,-1,0
vice024,0,1,1,0,4,8,-1,0,0
kapy740,0,1,1,0,4,4,-1,0,0
vudi262,1,0,0,0,0,5,-1,0,0
tuza510,1,0,0,0,0,5,-1,0,0
tubo945,0,1,1,0,4,4,-1,0,0
bofi323,0,0,1,0,0,5,-1,0,0
zeji633,1,0,0,1,3,1,-1,-1,0
bowo488,1,0,0,1,5,7,-1,0,0
pipo687,1,0,0,1,3,1,-1,-1,0
core934,0,0,1,0,2,0,-1,0,0
dedu084,1,0,0,1,5,7,-1,-1,0
lowa532,1,0,0,1,3,1,-1,-1,0
zuha759,1,0,0,1,3,1,-1,-1,0
qafu966,1,0,0,1,3,1,-1,-1,0
lobo127,0,0,1,0,0,5,-1,0,0
homa046,1,0,0,1,3,1,-1,-1,-1
keno764,1,0,0,1,5,7,-1,0,0
habe142,0,1,1,0,4,6,-1,0,0
joti731,0,1,1,0,1,4,-1,0,0
reve265,0,0,0,0,0,6,-1,0,0
cyca115,0,1,1,0,1,4,-1,0,0
rawo522,0,1,1,0,1,4,-1,0,0
pogi169,0,1,1,0,1,8,-1,-1,0
vepi727,0,0,1,0,0,5,-1,0,0
risy585,1,0,0,0,0,5,-1,0,0
fefu774,0,1,1,0,4,6,-1,0,0
wyxo615,0,1,1,0,4,4,0,0,0
ciby707,0,1,1,1,2,0,-1,-1,-1
xuvy948,0,1,1,0,1,2,-1,-1,0
ravy196,0,1,1,0,1,2,-1,-1,0
loge702,1,0,0,0,0,5,-1,0,0
viry492,0,0,1,0,0,6,-1,0,0
gowa049,0,1,1,0,4,6,-1,0,0
vyva107,0,1,1,0,4,6,-1,0,0
duxo262,0,1,1,0,1,8,-1,0,0
peto053,0,1,1,0,1,4,-1,0,0
difi858,0,1,1,0,4,4,-1,0,0
xoru423,0,1,1,0,0,6,-1,0,0
wizy437,0,1,1,0,1,8,-1,0,0
kuge219,0,1,1,0,1,8,-1,0,0
hazu473,0,0,1,0,0,6,-1,0,0
gono087,0,0,1,0,0,6,-1,0,0
vury347,0,1,1,0,4,6,-1,0,0
copo281,1,0,0,1,3,1,-1,-1,0
heda014,0,1,1,0,4,4,-1,0,0
powu461,0,1,1,0,1,8,-1,-1,0
peqa279,0,1,1,0,4,4,-1,0,0
lufy687,1,0,1,1,2,0,-1,0,0
koze985,0,1,1,0,1,8,-1,0,0
hadi890,0,1,1,0,0,6,-1,0,0
recu163,0,1,1,0,2,0,-1,0,0
xyzi642,0,1,1,0,1,8,-1,-1,0
nejy388,1,0,0,1,2,0,-1,-1,0
tezy480,0,1,1,0,4,6,-1,0,0
nawu690,0,1,1,0,0,6,-1,0,0
mofe780,1,0,1,1,2,0,-1,-1,0
nily317,1,0,0,1,3,1,-1,-1,0
roho333,1,0,0,1,5,7,-1,1,0
xime971,1,0,0,1,5,7,-1,0,0
muqo157,1,0,0,1,5,7,-1,0,0
riby296,1,0,0,0,0,5,-1,0,0
pala257,0,1,1,0,4,6,-1,0,0
tuby409,0,1,1,0,4,6,-1,0,0
hoxo855,1,0,0,0,0,5,-1,0,0
qixy634,0,1,1,0,1,2,-1,-1,0
niri091,0,1,1,0,0,6,-1,0,0
lazi600,0,1,1,0,4,4,-1,0,0
qedo478,1,0,0,0,0,5,-1,0,0
ruhu758,0,1,1,0,4,4,-1,0,0
cima563,0,1,1,0,1,8,-1,0,0
